Metrics/EnvironmentSteps,Metrics/AverageReturn
1060,-1.9242269872040745
1063,-1.6377524297689308
1066,-1.631052998928103
1070,-1.5171832642903804
1072,-2.008542135243934
1076,-1.4812498045877733
1078,-2.008603743370151
1081,-1.014286246463208
1083,-2.005711360840388
1088,-1.3279270222357096
1091,-1.6372665362799295
1093,-1.9603270824180556
1095,-1.9556105225266585
1097,-1.9242993206372168
1100,-1.6416247512014597
1103,-1.635531370092071
1106,-1.6384434718185297
1109,-1.639691466563086
1113,-1.476315097354659
1117,-1.451625992911033
1119,-1.9598705217090098
1121,-2.0057478947454355
1123,-1.9245422410507083
1126,-1.6268817869910936
1129,-1.6718475541061395
1132,-1.634817798502436
1134,-1.9940611160700459
1137,-1.6388898069594051
1140,-1.6819642167266133
1142,-1.9233426111439673
1147,-1.0060611167797875
1154,-1.2442143459525508
1156,-1.9576801343740238
1158,-2.0085523608123355
1164,-1.3320299888824818
1166,-1.923599260513359
1168,-2.00863854775999
1174,-1.2876885717146163
1176,-2.0087157171299532
1178,-1.9236076481662032
1182,-1.4846678264752333
1185,-1.6376289451056045
1188,-1.663950215536442
1192,-1.461843228504171
1195,-1.6363858866706327
1199,-1.4528170486902297
1203,-1.4561267595839191
1212,-1.16437058984874
1215,-1.6406581392487853
1219,-1.4546172951768912
1223,-1.4761688897344398
1227,-1.4369908022592053
1230,-1.634871018291917
1234,-1.502375136380256
1236,-2.0085537322496725
1239,-1.6268869200092315
1241,-1.9235878196018146
1244,-1.639589947977475
1256,-1.094919080106409
1262,-1.3020841033045842
1265,-1.594819806116942
1271,-1.316417363198999
1273,-1.9235188119639082
1275,-1.9234523755002026
1279,-1.4043346967160613
1283,-1.4605521920920443
1286,-1.6272239685433545
1289,-1.6400528971363197
1292,-1.6345925273122937
1295,-1.6718317439453791
1301,-1.2793150688864692
1304,-1.5975641052520355
1306,-2.0085863446131675
1311,-1.391030315669687
1316,-1.3153476821347443
1319,-1.6173759784852404
1322,-1.6058875944217668
1328,-1.2908902437114207
1332,-1.4585613137351017
1334,-1.9245180156673358
1338,-1.4804473392098934
1340,-1.9245960574751821
1351,-1.1639101740586293
1353,-2.0057480920262885
1356,-1.6632357682590004
1359,-1.63862318306644
1365,-1.301835081341889
1368,-1.6641436334897095
1370,-2.00858926200627
1373,-1.6629283343777734
1375,-2.008703203343365
1379,-1.4602150455386518
1381,-1.9241129989170764
1384,-1.627041562729057
1388,-0.9401612790700681
1390,-1.9941237358422637
1392,-2.008614780812544
1395,-1.6402795587598666
1400,-1.3930475702883542
1403,-1.634914948677516
1405,-1.9609140293942424
